query_no,source_study_id,source_title,author,affiliation,paper_type,source_doi,related_article_doi,isr_i_s_vs,biochar_dose_g_g_waste,pmax_ml_ch4_g_vs,rmax_ml_ch4_g_vs_d,lag_days,qc_status,import_eligible,notes
583,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
584,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
585,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
586,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
587,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
588,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
589,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
590,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
591,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
592,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
593,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
594,cai_jiao_tongji_thesis_bmp,"Promoting Anaerobic Digestion by Biochar: Preliminary Study on Technology Optimization and Mechanism Analysis",Cai Jiao,Tongji University,Master thesis,,10.1177/0734242X16634196,,,,,,BLOCKED_OFFICIAL_EXPORT,No,"Query ID confirmed by Liu et al. (2024) Supplementary Table S1; row values and treatment mapping not recovered; related-article equivalence unverified."
