iteration,model,treatment_balanced_mean_rmse,resampled_blank_ids
1,modified_gompertz,15.642728869780111,K1;K3;K1
1,persistence,19.4105693598411,K1;K3;K1
1,recent_rate,16.729844289287737,K1;K3;K1
1,zero_anchored_gompertz,16.41885292824404,K1;K3;K1
6,modified_gompertz,17.286280977884818,K1;K2;K3
6,persistence,21.54467663481278,K1;K2;K3
6,recent_rate,14.71919273424432,K1;K2;K3
6,zero_anchored_gompertz,17.883755255409852,K1;K2;K3
7,modified_gompertz,17.66221154871133,K3;K1;K3
7,persistence,21.88965848409921,K3;K1;K3
7,recent_rate,14.75343335397383,K3;K1;K3
7,zero_anchored_gompertz,18.51868837396925,K3;K1;K3
14,modified_gompertz,14.944845706345069,K1;K3;K3
14,persistence,19.365856535205857,K1;K3;K3
14,recent_rate,13.611944117028264,K1;K3;K3
14,zero_anchored_gompertz,15.765238085930893,K1;K3;K3
23,modified_gompertz,15.254490431429357,K3;K1;K1
23,persistence,19.141130764022588,K3;K1;K1
23,recent_rate,15.118635135058046,K3;K1;K1
23,zero_anchored_gompertz,16.018630490549167,K3;K1;K1
35,modified_gompertz,13.389683419628572,K3;K1;K1
35,persistence,18.526278610410152,K3;K1;K1
35,recent_rate,12.493269048246816,K3;K1;K1
35,zero_anchored_gompertz,14.454464180763424,K3;K1;K1
36,modified_gompertz,13.595984534318617,K1;K3;K2
36,persistence,18.875223317524796,K1;K3;K2
36,recent_rate,11.385744031554603,K1;K3;K2
36,zero_anchored_gompertz,14.355488217539788,K1;K3;K2
40,modified_gompertz,13.595984533006831,K3;K2;K1
40,persistence,18.875223317524796,K3;K2;K1
40,recent_rate,11.385744031554603,K3;K2;K1
40,zero_anchored_gompertz,14.355488219816513,K3;K2;K1
44,modified_gompertz,13.834227048875805,K2;K2;K1
44,persistence,19.033147683044703,K2;K2;K1
44,recent_rate,11.521128883353557,K2;K2;K1
44,zero_anchored_gompertz,14.865878233961013,K2;K2;K1
46,modified_gompertz,17.295039313379934,K3;K1;K3
