treatment,held_out_reactor,model,n_training_reactors,n_test_points,rmse,mae,bias
food_waste,O1,sibling_mean_trajectory,2,22,17.152525749945756,15.026236986123386,13.861523880021963
food_waste,O1,first_order,2,22,19.65056661091329,17.77688835745814,14.853135814637135
food_waste,O1,modified_gompertz,2,22,18.32336973540356,16.39290511681943,14.305955751588357
food_waste,O1,logistic,2,22,19.773031248135922,17.80837605928653,14.748266923271304
food_waste,O1,zero_anchored_gompertz,2,22,18.23695372375757,15.893693785848619,13.018479377769376
food_waste,O2,sibling_mean_trajectory,2,22,6.40947106097575,5.734722775941221,-5.249939190332865
food_waste,O2,first_order,2,22,11.674920857331257,9.192690282931927,-4.280036782526735
food_waste,O2,modified_gompertz,2,22,9.347714836987622,6.895061983873699,-4.831196233149438
food_waste,O2,logistic,2,22,12.41867389137337,9.510157694425386,-4.408386605303016
food_waste,O2,zero_anchored_gompertz,2,22,9.464760358820541,6.842801508216734,-5.954645786717108
food_waste,O3,sibling_mean_trajectory,2,22,10.791735326007034,9.491795564405965,-8.611584689689103
food_waste,O3,first_order,2,22,14.93578519893628,13.23237614650434,-7.6767202786435185
food_waste,O3,modified_gompertz,2,22,12.883299352566379,10.70162619630761,-8.188986165202918
food_waste,O3,logistic,2,22,15.268775367399057,11.625142360929708,-7.772895597492184
food_waste,O3,zero_anchored_gompertz,2,22,12.929634436398839,10.314180883854545,-9.335517041313091
food_waste_hydrochar_240c,O+H1,sibling_mean_trajectory,2,22,2.0718243266402987,1.4599997180980375,0.23263449605993392
food_waste_hydrochar_240c,O+H1,first_order,2,22,10.780048816894453,7.966565576506411,1.2552906017048235
food_waste_hydrochar_240c,O+H1,modified_gompertz,2,22,8.77069920900469,6.713524042523486,0.757365819671088
food_waste_hydrochar_240c,O+H1,logistic,2,22,12.912648931773646,9.898534936881648,1.2453872401312347
food_waste_hydrochar_240c,O+H1,zero_anchored_gompertz,2,22,9.000000536367393,7.214146099478316,-0.7750074169149873
food_waste_hydrochar_240c,O+H2,sibling_mean_trajectory,2,22,2.2862926116797944,2.0438968969504643,1.1369818416704263
food_waste_hydrochar_240c,O+H2,first_order,2,22,10.16586939901184,8.12285549228033,2.2234294111768946
food_waste_hydrochar_240c,O+H2,modified_gompertz,2,22,9.070845454227337,7.400130626644121,1.6549842191911566
food_waste_hydrochar_240c,O+H2,logistic,2,22,13.15200568438272,10.730370380431085,2.154552257853183
food_waste_hydrochar_240c,O+H2,zero_anchored_gompertz,2,22,9.480277037430312,7.591318270058438,0.17367916282260024
food_waste_hydrochar_240c,O+H3,sibling_mean_trajectory,2,22,2.9725083863938604,2.6051982307109984,-1.369616337730364
food_waste_hydrochar_240c,O+H3,first_order,2,22,10.66072073585152,7.396678920549977,-0.38102745077615713
food_waste_hydrochar_240c,O+H3,modified_gompertz,2,22,7.321307491662744,5.996116836799164,-0.8284985391250512
food_waste_hydrochar_240c,O+H3,logistic,2,22,11.671807125012657,8.742714144672913,-0.3415778122219273
food_waste_hydrochar_240c,O+H3,zero_anchored_gompertz,2,22,7.4108501589465465,5.684744620993363,-2.4187412427944643
food_waste_pyrolysis_600c,O+B1,sibling_mean_trajectory,1,22,1.5665604900742451,1.309531931463247,0.8884275456593737
food_waste_pyrolysis_600c,O+B1,first_order,1,22,11.747933696068682,9.048230241822047,2.0815015343511916
food_waste_pyrolysis_600c,O+B1,modified_gompertz,1,22,6.96821314625021,5.588267070741471,1.253571716360419
food_waste_pyrolysis_600c,O+B1,logistic,1,22,10.123555727141634,7.648759417804642,1.719599869608991
food_waste_pyrolysis_600c,O+B1,zero_anchored_gompertz,1,22,7.310232057491341,5.471724133531305,0.0184402195101841
food_waste_pyrolysis_600c,O+B2,sibling_mean_trajectory,1,22,1.5665604900742451,1.309531931463247,-0.8884275456593737
food_waste_pyrolysis_600c,O+B2,first_order,1,22,12.269866741106522,8.467521149257122,0.23666453565257228
food_waste_pyrolysis_600c,O+B2,modified_gompertz,1,22,7.308196358904314,5.935664279768642,-0.5178623934385231
food_waste_pyrolysis_600c,O+B2,logistic,1,22,10.358758996523143,7.372991445664895,-0.06080710514227308
food_waste_pyrolysis_600c,O+B2,zero_anchored_gompertz,1,22,7.472518453182854,5.749203169416217,-1.843903795388776
food_waste_torrefaction_240c,O+T1,sibling_mean_trajectory,1,22,3.4043153024696546,2.778261862437712,2.133253193450334
food_waste_torrefaction_240c,O+T1,first_order,1,22,10.247952488485556,8.282989499448005,3.0786864646364944
food_waste_torrefaction_240c,O+T1,modified_gompertz,1,22,10.25009973477746,8.303949781331584,2.713599841558529
food_waste_torrefaction_240c,O+T1,logistic,1,22,14.521581408137468,11.64984354438787,3.2154790093912156
food_waste_torrefaction_240c,O+T1,zero_anchored_gompertz,1,22,10.876031555353505,8.922301340875949,0.8894295128558095
food_waste_torrefaction_240c,O+T3,sibling_mean_trajectory,1,22,3.4043153024696546,2.778261862437712,-2.133253193450334
food_waste_torrefaction_240c,O+T3,first_order,1,22,9.844296466148055,6.948893821461824,-1.2666230169105284
food_waste_torrefaction_240c,O+T3,modified_gompertz,1,22,8.835998371787799,6.876811855229428,-1.5305264313906617
food_waste_torrefaction_240c,O+T3,logistic,1,22,13.415278884107764,10.382993534410222,-1.041397356216065
food_waste_torrefaction_240c,O+T3,zero_anchored_gompertz,1,22,9.544917665492065,7.202902523080062,-3.368092765225596
