model,treatment_balanced_mean_rmse,scope
delayed_first_order,14.574278121802129,treatment_specific_day10_forecast
first_order,27.61833705208118,treatment_specific_day10_forecast
logistic,22.64789715210128,treatment_specific_day10_forecast
modified_gompertz,15.106500452854768,treatment_specific_day10_forecast
persistence,19.577745654476963,treatment_specific_day10_forecast
recent_rate,12.676722141153695,treatment_specific_day10_forecast
zero_anchored_gompertz,15.708318922284306,treatment_specific_day10_forecast
first_order,25.24865775512221,treatment_agnostic_day10_forecast
logistic,26.22157376242404,treatment_agnostic_day10_forecast
modified_gompertz,20.067160984567487,treatment_agnostic_day10_forecast
zero_anchored_gompertz,20.445248264388763,treatment_agnostic_day10_forecast
first_order,12.002748808887656,complete_trajectory_repeatability
logistic,13.152142064328533,complete_trajectory_repeatability
modified_gompertz,9.646749791452667,complete_trajectory_repeatability
sibling_mean_trajectory,4.716415403272849,complete_trajectory_repeatability
zero_anchored_gompertz,9.944002154083403,complete_trajectory_repeatability
