sensitivity,model,treatment_balanced_mean_rmse
cutoff_day_7,first_order,99.4056893189809
cutoff_day_7,logistic,27.2284248925395
cutoff_day_7,modified_gompertz,13.706637462477577
cutoff_day_7,persistence,29.349125882078756
cutoff_day_7,recent_rate,168.97572943673265
cutoff_day_7,zero_anchored_gompertz,14.23389577944884
cutoff_day_14,first_order,8.565148937542869
cutoff_day_14,logistic,20.77027099589042
cutoff_day_14,modified_gompertz,16.465840924331275
cutoff_day_14,persistence,13.994527282158703
cutoff_day_14,recent_rate,5.721184205357536
cutoff_day_14,zero_anchored_gompertz,16.879930238195335
grid_hourly,first_order,33.19854465069237
grid_hourly,logistic,20.217874788161634
grid_hourly,modified_gompertz,12.752330530420414
grid_hourly,persistence,18.66698494311321
grid_hourly,recent_rate,12.015963819546538
grid_hourly,zero_anchored_gompertz,14.792701388789322
grid_48h,first_order,24.563708586524047
grid_48h,logistic,23.658610940316052
grid_48h,modified_gompertz,17.395707904082734
grid_48h,persistence,19.256056275098224
grid_48h,recent_rate,12.3293689999967
grid_48h,zero_anchored_gompertz,15.046337153333411
blank_leave_K1_out,first_order,28.963400689131063
blank_leave_K1_out,logistic,22.36437383980885
blank_leave_K1_out,modified_gompertz,14.92312886430918
blank_leave_K1_out,persistence,19.49452514358468
blank_leave_K1_out,recent_rate,11.940191743371484
blank_leave_K1_out,zero_anchored_gompertz,15.030742752837437
blank_leave_K2_out,first_order,27.072607871631888
blank_leave_K2_out,logistic,22.6959660911259
blank_leave_K2_out,modified_gompertz,15.106590253171115
blank_leave_K2_out,persistence,19.525485522119368
blank_leave_K2_out,recent_rate,13.324762306985756
blank_leave_K2_out,zero_anchored_gompertz,15.978020812425854
blank_leave_K3_out,first_order,26.839273685418163
blank_leave_K3_out,logistic,22.894608617450764
blank_leave_K3_out,modified_gompertz,15.307673731563266
blank_leave_K3_out,persistence,19.715057733273053
blank_leave_K3_out,recent_rate,12.790357561423033
blank_leave_K3_out,zero_anchored_gompertz,16.140242536405143
flagged_reactor_stress_test,first_order,87.50976259049219
flagged_reactor_stress_test,logistic,89.01098807859941
flagged_reactor_stress_test,modified_gompertz,84.9619764126498
flagged_reactor_stress_test,persistence,87.09498494167848
flagged_reactor_stress_test,recent_rate,80.2587712481089
flagged_reactor_stress_test,zero_anchored_gompertz,84.41231223743767
robust_loss,first_order,26.956257448630843
robust_loss,logistic,21.263474192315428
robust_loss,modified_gompertz,14.809278605357362
robust_loss,persistence,19.577745654476963
robust_loss,recent_rate,12.676722141153695
robust_loss,zero_anchored_gompertz,15.410013369352972
