model,held_out_batch,n_train,n_test,parameters,is_boundary_condition,rmse_ml_g_vs,mae_ml_g_vs
constant_gompertz,T37_D0,217,31,3,True,98.49322404412723,90.37614680350785
log_linear_dose_temperature,T37_D0,217,31,6,True,22.015949582940486,20.043355248501587
global_dose_temperature,T37_D0,217,31,8,True,3.7628300165779986,3.072582354155293
constant_gompertz,T37_D2,217,31,3,True,57.571275744479124,48.619411386559555
log_linear_dose_temperature,T37_D2,217,31,6,True,12.543688666452171,11.450748537803767
global_dose_temperature,T37_D2,217,31,8,True,3.853613069197779,3.1384469756635784
constant_gompertz,T37_D5,217,31,3,True,45.84238510235353,34.93327517637429
log_linear_dose_temperature,T37_D5,217,31,6,True,9.189145818295698,7.977511583917853
global_dose_temperature,T37_D5,217,31,8,True,4.507371305622636,3.6312622167136888
constant_gompertz,T37_D10,217,31,3,True,48.871682286242155,39.0872077400492
log_linear_dose_temperature,T37_D10,217,31,6,True,16.408002499470893,14.996866310711088
global_dose_temperature,T37_D10,217,31,8,True,4.324026194365184,3.5752493277770014
constant_gompertz,T55_D0,217,31,3,True,56.16852374379915,47.91662789042324
log_linear_dose_temperature,T55_D0,217,31,6,True,24.699964967651752,22.0654343272455
global_dose_temperature,T55_D0,217,31,8,True,3.971540586800386,3.497473944496063
constant_gompertz,T55_D2,217,31,3,True,77.13843844166159,54.95178388505462
log_linear_dose_temperature,T55_D2,217,31,6,True,14.179992117468519,13.120038356927822
global_dose_temperature,T55_D2,217,31,8,True,2.63618886576,1.9025713236596293
constant_gompertz,T55_D5,217,31,3,True,93.75616212171462,75.19027192768796
log_linear_dose_temperature,T55_D5,217,31,6,True,11.846517372369206,10.918592599373897
global_dose_temperature,T55_D5,217,31,8,True,3.165655430574517,2.6736064117570426
constant_gompertz,T55_D10,217,31,3,True,103.11909836685615,85.65703303142274
log_linear_dose_temperature,T55_D10,217,31,6,True,19.366580457127622,17.615501516209935
global_dose_temperature,T55_D10,217,31,8,True,3.3073811288925192,2.771316535945653
